exp_name,folder,learning_rate,epsilon_decay,discount_factor,episodes,max_episode_steps,is_slippery,batch_size,buffer_size,nn_nodes,train_avg_reward_last100,train_success_rate_last100,eval_avg_reward,eval_success_rate,time_s
baseline,DQN/baseline__2026-08-28__14-26-57,0.001,1.5,0.99,2500,300,True,256,8192,32,-65.86,100.0,-69.65,100.0,1545.71
ep_1000,DQN/ep_1000__2026-08-28__14-56-40,0.001,1.5,0.99,1000,300,True,256,8192,32,-72.04,100.0,-69.5,100.0,593.34
dqn_deterministic,DQN/dqn_deterministic__2026-08-28__15-10-30,0.001,1.5,0.99,1000,300,False,256,8192,32,-13.22,100.0,-13.0,100.0,256.89
nodes_16,DQN/nodes_16__2026-08-28__15-16-18,0.001,1.5,0.99,1500,300,True,256,8192,16,-67.84,99.0,-64.59,100.0,844.35
batch_32,DQN/batch_32__2026-08-28__15-35-34,0.001,1.5,0.99,1500,300,True,32,8192,32,-78.21,100.0,-66.63,100.0,757.52
batch_128,DQN/batch_128__2026-08-28__15-48-43,0.001,1.5,0.99,1500,300,True,128,8192,32,-75.62,100.0,-69.07,100.0,775.84
buffer_256,DQN/buffer_256__2026-08-28__16-04-24,0.001,1.5,0.99,1500,300,True,256,256,32,-1804.01,91.0,-2058.34,85.0,49.87
buffer_4096,DQN/buffer_4096__2026-08-28__16-10-05,0.001,1.5,0.99,1500,300,True,256,4096,32,-72.49,100.0,-64.49,100.0,913.51
buffer_4096,DQN/buffer_4096__2026-08-28__16-31-05,0.001,1.5,0.99,1500,300,True,256,4096,32,-65.41,100.0,-67.66,100.0,848.66
gamma_0.90,DQN/gamma_0.90__2026-08-28__19-01-28,0.001,1.5,0.9,2500,300,True,256,8192,32,-91.1,99.0,-138.3,94.0,1678.94
eps_1.0,DQN/eps_1.0__2026-08-28__19-31-54,0.001,1.0,0.99,2500,300,True,256,8192,32,-82.28,100.0,-93.69,100.0,1840.82
eps_2.0,DQN/eps_2.0__2026-08-28__20-05-17,0.001,2.0,0.99,2500,300,True,256,8192,32,-67.45,100.0,-61.9,100.0,1256.29
lr_0.01,DQN/lr_0.01__2026-08-28__20-26-51,0.01,1.5,0.99,2500,300,True,256,8192,32,-93.68,100.0,-75.6,100.0,1979.09
lr_0.0001,DQN/lr_0.0001__2026-08-28__21-00-58,0.0001,1.5,0.99,2500,300,True,256,8192,32,-69.81,100.0,-86.13,100.0,1428.14
dqn_stochastic_baseline,DQN/dqn_stochastic_baseline__2026-08-28__21-34-17,0.001,1.5,0.99,2500,300,True,256,8192,32,-62.8,100.0,-70.25,100.0,1413.58
