exp_name,folder,learning_rate,epsilon_decay,discount_factor,episodes,max_episode_steps,is_slippery,train_avg_reward_last100,train_success_rate_last100,eval_avg_reward,eval_success_rate,time_s
baseline,Q_table/baseline__2026-08-28__13-39-32,0.1,1.2,0.99,5000,300,True,-66.97,100.0,-69.45,100.0,32.83
lr_low,Q_table/lr_low__2026-08-28__13-47-01,0.01,1.2,0.99,5000,300,True,-76.85,100.0,-63.17,100.0,37.83
lr_high,Q_table/lr_high__2026-08-28__13-49-31,0.5,1.2,0.99,5000,300,True,-79.88,100.0,-99.27,100.0,40.12
lr_09,Q_table/lr_09__2026-08-28__13-51-05,0.9,1.2,0.99,5000,300,True,-101.8,97.0,-90.36,99.0,45.49
gamma_low,Q_table/gamma_low__2026-08-28__13-52-18,0.1,1.2,0.9,5000,300,True,-65.96,100.0,-61.68,100.0,36.46
gamma_high,Q_table/gamma_high__2026-08-28__13-55-09,0.1,1.2,0.999,5000,300,True,-73.77,100.0,-69.86,100.0,35.65
episodes_low,Q_table/episodes_low__2026-08-28__13-56-01,0.1,1.2,0.99,1000,300,True,-75.03,100.0,-78.23,100.0,7.91
episodes_high,Q_table/episodes_high__2026-08-28__13-57-22,0.1,1.2,0.99,20000,300,True,-67.24,100.0,-64.17,100.0,144.76
deterministic,Q_table/deterministic__2026-08-28__14-00-41,0.1,1.2,0.99,5000,300,False,-14.03,100.0,-13.0,100.0,14.71
lr09_deterministic,Q_table/lr09_deterministic__2026-08-28__14-01-19,0.9,1.2,0.99,5000,300,False,-13.0,100.0,-13.0,100.0,15.23
lr_high_slow_decay,Q_table/lr_high_slow_decay__2026-08-28__14-02-08,0.5,0.6,0.99,5000,300,True,-867.49,50.0,-117.78,98.0,50.83
lr_low_many_episodes,Q_table/lr_low_many_episodes__2026-08-28__14-07-52,0.01,1.2,0.99,20000,300,True,-66.22,100.0,-64.0,100.0,120.38
final_best,Q_table/final_best__2026-08-28__14-12-31,0.1,1.0,0.99,8000,300,True,-74.92,100.0,-63.86,100.0,62.3
combo_lr_low_gamma_low,Q_table/combo_lr_low_gamma_low__2026-08-28__14-15-14,0.01,1.2,0.9,5000,300,True,-72.5,100.0,-73.06,100.0,35.25
gamma_085,Q_table/gamma_085__2026-08-28__14-18-03,0.1,1.2,0.85,5000,300,True,-76.98,100.0,-71.31,100.0,36.34
final_best_v2,Q_table/final_best_v2__2026-08-28__14-20-16,0.1,1.2,0.9,5000,300,True,-69.11,100.0,-67.16,100.0,38.13
